iter	Passed	Remaining
0	54	54837
1	93	46533
2	132	43916
3	173	43144
4	216	43148
5	263	43675
6	310	44088
7	356	44256
8	402	44337
9	461	45682
10	518	46591
11	564	46476
12	610	46384
13	651	45914
14	692	45499
15	750	46162
16	795	46003
17	838	45757
18	881	45487
19	928	45475
20	978	45615
21	1025	45606
22	1070	45492
23	1116	45405
24	1158	45170
25	1202	45048
26	1242	44789
27	1279	44433
28	1316	44066
29	1352	43733
30	1390	43464
31	1425	43129
32	1463	42898
33	1505	42780
34	1547	42662
35	1594	42687
36	1639	42681
37	1695	42917
38	1760	43384
39	1817	43615
40	1862	43575
41	1904	43444
42	1948	43359
43	1993	43314
44	2037	43244
45	2090	43354
46	2135	43309
47	2175	43148
48	2211	42918
49	2248	42717
50	2289	42608
51	2327	42437
52	2367	42308
53	2406	42151
54	2443	41978
55	2485	41896
56	2595	42941
57	2630	42723
58	2668	42556
59	2710	42471
60	2751	42361
61	2786	42150
62	2830	42097
63	2880	42122
64	2935	42230
65	3007	42566
66	3056	42560
67	3099	42475
68	3147	42470
69	3190	42392
70	3240	42394
71	3281	42292
72	3327	42258
73	3373	42214
74	3422	42204
75	3460	42077
76	3513	42119
77	3554	42015
78	3597	41942
79	3641	41873
80	3680	41755
81	3723	41688
82	3765	41597
83	3807	41521
84	3848	41429
85	3890	41350
86	3932	41266
87	3977	41217
88	4026	41217
89	4067	41127
90	4103	40985
91	4148	40946
92	4196	40927
93	4248	40945
94	4290	40876
95	4328	40761
96	4363	40622
97	4402	40521
98	4444	40445
99	4479	40313
100	4517	40209
101	4563	40179
102	4599	40059
103	4640	39978
104	4692	39993
105	4731	39903
106	4773	39836
107	4820	39815
108	4887	39950
109	4926	39861
110	4965	39768
111	5012	39742
112	5078	39864
113	5129	39865
114	5173	39817
115	5211	39713
116	5256	39670
117	5303	39644
118	5347	39592
119	5410	39675
120	5463	39691
121	5509	39648
122	5552	39590
123	5591	39499
124	5628	39396
125	5668	39318
126	5702	39202
127	5738	39092
128	5777	39010
129	5812	38897
130	5847	38791
131	5886	38707
132	5919	38587
133	5958	38510
134	5994	38406
135	6027	38293
136	6070	38238
137	6108	38155
138	6142	38046
139	6180	37967
140	6215	37864
141	6253	37786
142	6287	37680
143	6322	37584
144	6359	37498
145	6393	37394
146	6428	37302
147	6466	37226
148	6500	37125
149	6540	37065
150	6583	37014
151	6623	36954
152	6675	36953
153	6718	36909
154	6761	36861
155	6800	36789
156	6834	36696
157	6874	36635
158	6907	36538
159	6944	36460
160	6981	36381
161	7014	36287
162	7055	36228
163	7094	36165
164	7126	36063
165	7160	35977
166	7194	35887
167	7227	35795
168	7264	35719
169	7298	35631
170	7328	35529
171	7366	35462
172	7401	35381
173	7436	35303
174	7476	35246
175	7509	35160
176	7543	35074
177	7581	35011
178	7614	34922
179	7647	34837
180	7688	34787
181	7721	34702
182	7758	34636
183	7794	34564
184	7828	34489
185	7878	34477
186	7918	34428
187	7963	34397
188	8000	34330
189	8038	34270
190	8074	34199
191	8110	34130
192	8146	34063
193	8184	34004
194	8217	33923
195	8253	33856
196	8285	33773
197	8320	33701
198	8357	33641
199	8389	33556
200	8423	33483
201	8467	33450
202	8507	33402
203	8544	33338
204	8589	33309
205	8629	33259
206	8678	33246
207	8714	33182
208	8750	33119
209	8786	33053
210	8825	33002
211	8859	32931
212	8897	32874
213	8936	32824
214	8977	32777
215	9020	32740
216	9072	32736
217	9122	32722
218	9174	32718
219	9218	32684
220	9258	32636
221	9299	32588
222	9333	32522
223	9367	32450
224	9404	32391
225	9437	32320
226	9470	32251
227	9503	32179
228	9535	32105
229	9567	32029
230	9601	31961
231	9632	31887
232	9665	31818
233	9698	31747
234	9732	31682
235	9765	31613
236	9797	31543
237	9829	31472
238	9863	31407
239	9897	31342
240	9930	31274
241	9962	31206
242	9992	31130
243	10027	31068
244	10061	31004
245	10095	30942
246	10127	30875
247	10159	30806
248	10191	30738
249	10225	30675
250	10260	30618
251	10301	30576
252	10343	30541
253	10391	30519
254	10440	30503
255	10481	30461
256	10518	30409
257	10553	30350
258	10588	30294
259	10622	30233
260	10660	30183
261	10697	30132
262	10729	30067
263	10761	30002
264	10794	29939
265	10828	29880
266	10863	29824
267	10897	29765
268	10930	29702
269	10962	29639
